STARTDATE,LOCNAME,COUNTRYID,LOCPRESENT
27-11-1985 00:00, ,MR,1
26-11-1985 00:00, ,MR,1
15-08-1985 00:00,Camceua,ER,1
29-09-1985 00:00,Cabun,ER,1
25-09-1985 00:00,Cabun,ER,1
15-12-1985 00:00, ,ML,1
06-12-1985 00:00, ,MR,1
11-12-1985 00:00, ,MR,1
11-09-1985 00:00,Najran,SA,1
15-12-1985 00:00,Oun El Basha,SA,1
22-10-1985 00:00, ,MR,1
15-12-1985 00:00, ,MR,1
25-12-1985 00:00, ,MR,1
02-12-1985 00:00, ,MR,1
01-11-1985 00:00, ,MR,1
15-08-1985 00:00,Camceua,ER,1
17-09-1985 00:00,Cabun,ER,1
07-12-1985 00:00, ,MR,1
02-12-1985 00:00, ,MR,1
18-12-1985 00:00,Doga,SA,1
05-12-1985 00:00, ,MR,1
20-11-1985 00:00, ,MR,1
26-11-1985 00:00, ,MR,1
02-12-1985 00:00, ,MR,1
07-12-1985 00:00, ,MR,1
06-12-1985 00:00, ,MR,1
15-12-1985 00:00, ,MR,1
26-09-1985 00:00,Camceua,ER,1
30-10-1985 00:00, ,MR,1
07-12-1985 00:00,Lith,SA,1
16-12-1985 00:00,Habowa,SA,1
30-12-1985 00:00, ,MR,1
22-12-1985 00:00,Habowa,SA,1
15-12-1985 00:00,Wadi Nawan,SA,1
15-12-1985 00:00,Mecca,SA,1
15-12-1985 00:00,Jeddah,SA,1
15-12-1985 00:00,Dhahabah,SA,1
15-12-1985 00:00,Taif,SA,1
23-12-1985 00:00,Lith,SA,1
15-12-1985 00:00, ,MR,1
15-11-1985 00:00, ,MR,1
16-11-1985 00:00, ,MR,1
06-12-1985 00:00, ,MR,1
15-11-1985 00:00, ,MR,1
28-11-1985 00:00, ,MR,1
09-11-1985 00:00, ,SG,1
26-11-1985 00:00, ,MR,1
04-12-1985 00:00, ,MR,1
15-12-1985 00:00,Saidiyah,SA,1
25-12-1985 00:00, ,SA,1
15-11-1986 00:00,Oued Jalrhak,ML,1
15-11-1986 00:00,Oued Taloukait,ML,1
15-11-1986 00:00,Oued Tin Alora,ML,1
16-11-1986 00:00,Oued In-Tinbinkar,ML,1
16-11-1986 00:00,Oued Arikad,ML,1
02-10-1986 00:00,tassalet,NG,1
17-11-1986 00:00,Oued Tesserhert,ML,1
17-11-1986 00:00,Oued Issouk,ML,1
17-11-1986 00:00,Oued Ezguert,ML,1
16-11-1986 00:00,Oued Ferguet,ML,1
18-11-1986 00:00,Oued Issouk (2),ML,1
19-11-1986 00:00,Oued Ferguet (2),ML,1
03-11-1986 00:00,Oued Tin Timlharene,ML,1
18-11-1986 00:00,Oued Ifraraten,ML,1
04-11-1986 00:00,Oued In Bekhear,ML,1
17-11-1986 00:00, ,AG,1
14-11-1986 00:00,Oued Ouhot (2),AG,1
17-11-1986 00:00,Oued Tin Tadjart,ML,1
05-08-1986 00:00,Southern Darfur,SU,1
02-03-1986 00:00,"Ashat, Wadi",SU,1
03-04-1986 00:00,Daba,SA,1
22-10-1986 00:00, ,NG,2
25-10-1986 00:00, ,NG,2
14-10-1986 00:00, ,NG,2
02-10-1986 00:00, ,NG,2
01-10-1986 00:00, ,NG,2
29-10-1986 00:00,Tamesna,NG,1
30-10-1986 00:00,air,NG,1
13-11-1986 00:00, ,NG,2
13-11-1986 00:00, ,NG,2
15-11-1986 00:00, ,NG,2
14-11-1986 00:00, ,NG,2
14-11-1986 00:00, ,AG,2
17-11-1986 00:00, ,AG,2
09-11-1986 00:00, ,NG,2
29-09-1986 00:00, ,NG,2
10-11-1986 00:00, ,NG,2
15-11-1986 00:00, ,NG,2
07-11-1986 00:00, ,NG,2
15-11-1986 00:00, ,NG,2
15-11-1986 00:00, ,NG,2
15-11-1986 00:00, ,NG,2
20-11-1986 00:00, ,NG,2
22-11-1986 00:00, ,NG,2
