Month,Period,2003-2004,2004-2005,
Oct,28,0.0985,0.1031,
,29,0.0977,0.1021,
,30,0.0979,0.1011,
Nov,31,0.0978,0.0995,
,32,0.0994,0.0991,
,33,0.1004,0.0997,
Dec,34,0.1015,0.1006,
,35,0.1006,0.1,
,36,0.1008,0.0998,
Jan,1,0.1014,0.0994,
,2,0.1044,0.0984,
,3,0.1074,0.099,
Feb,4,0.1105,0.1017,
,5,0.1116,0.1061,
,6,0.1128,0.1123,
Mar,7,0.114,0.1187,
,8,0.1152,0.1241,
,9,0.1147,0.126,
Apr,10,0.113,0.1241,
,11,0.1103,0.12,
,12,0.1057,0.115,
May,13,0.1021,0.1103,
,14,0.0993,0.1067,
,15,0.0985,0.1048,
Jun,16,0.099,0.1024,
,17,0.1012,0.1021,
,18,0.1022,0.1018,
Jul,19,0.1026,0.102,
,20,0.1023,0.103,
,21,0.1017,0.1043,
Aug,22,0.1015,0.1047,
,23,0.1015,0.1044,
,24,0.1015,0.105,
Sep,25,0.1018,0.1037,
,26,0.1028,0.1037,
,27,0.1029,0.1045
