Month,Period,2019,2020,
Jan,1,0.2306,0.345,
,2,0.2153,0.309,
,3,0.2054,0.2748,
Feb,4,0.2026,0.2504,
,5,0.2033,0.236,
,6,0.2036,0.2288,
Mar,7,0.2036,0.2256,
,8,0.2044,0.2317,
,9,0.208,0.2802,
Apr,10,0.2162,0.3225,
,11,0.2304,0.3761,
,12,0.2527,0.4265,
May,13,0.2793,0.4804,
,14,0.3068,0.5103,
,15,0.3218,,
Jun,16,0.3154,,
,17,0.2915,,
,18,0.2607,,
Jul,19,0.237,,
,20,0.2229,,
,21,0.2152,,
Aug,22,0.2129,,
,23,0.2127,,
,24,0.2131,,
Sep,25,0.2155,,
,26,0.2219,,
,27,0.2419,,
Oct,28,0.2813,,
,29,0.3451,,
,30,0.4087,,
Nov,31,0.4407,,
,32,0.4443,,
,33,0.4341,,
Dec,34,0.4184,,
,35,0.4004,,
,36,0.3765,
