Month,Period,2003-2004,2004-2005,
Oct,55,0.0821,0.0892,
,56,0.2623,0.2697,
,57,0.7644,0.3668,
,58,0.5769,0.3808,
,59,0.5467,0.6217,
,60,1.1985,0.9629,
Nov,61,1.2562,6.5026,
,62,8.9009,3.0346,
,63,1.8939,7.9652,
,64,1.3981,4.4258,
,65,13.7625,1.6506,
,66,5.5915,1.6041,
Dec,67,1.5501,1.8487,
,68,0.9787,1.635,
,69,4.0294,1.7498,
,70,0.9738,1.4664,
,71,0.7879,1.4174,
,72,2.3583,1.6619,
Jan,1,0.5101,1.9164,
,2,8.2096,1.8415,
,3,2.2802,1.9504,
,4,0.937,1.9639,
,5,0.6291,12.5836,
,6,0.937,2.5301,
Feb,7,0.5316,1.7802,
,8,0.5971,1.8383,
,9,0.8843,2.3035,
,10,0.8793,2.6563,
,11,0.8223,5.5995,
,12,0.3411,2.7205,
Mar,13,1.5498,3.0426,
,14,1.596,11.6472,
,15,1.5224,6.2452,
,16,1.4468,2.8857,
,17,1.4017,3.1988,
,18,3.4126,2.9194,
Apr,19,1.0782,1.7621,
,20,0.6666,1.4825,
,21,0.5333,2.1225,
,22,1.9709,2.6279,
,23,3.4442,5.5651,
,24,4.2986,2.3124,
May,25,0.0698,0.0706,
,26,0.0733,0.0759,
,27,0.0882,0.0968,
,28,0.1346,0.4917,
,29,0.1985,0.2601,
,30,0.3853,0.2536,
Jun,31,0.1053,0.1053,
,32,0,0,
,33,0,0,
,34,0,0,
,35,0,0,
,36,0,0,
Jul,37,0,0,
,38,0,0,
,39,0,0,
,40,0,0,
,41,0,0,
,42,0,0,
Aug,43,0,0,
,44,0,0,
,45,0,0,
,46,0,0,
,47,0,0,
,48,0,0,
Sep,49,0,0,
,50,0,0,
,51,0,0,
,52,0,0,
,53,0,0,
,54,0,0
