Month,Period,2003-2004,2004-2005,
Oct,55,0.0788,0.078,
,56,0.199,0.2008,
,57,0.2261,0.2333,
,58,0.2386,0.24,
,59,0.2408,0.2331,
,60,0.4977,0.414,
Nov,61,0.3739,0.3949,
,62,2.2482,0.458,
,63,0.4919,1.7375,
,64,0.4698,0.5313,
,65,1.6787,0.5698,
,66,2.6411,0.6256,
Dec,67,3.0082,1.8242,
,68,0.4915,4.4383,
,69,0.7874,1.9105,
,70,0.6083,0.7835,
,71,0.5567,0.8554,
,72,1.4975,1.095,
Jan,1,0.8755,1.3719,
,2,3.9988,1.5034,
,3,2.7564,1.4096,
,4,1.6215,1.9724,
,5,0.7336,5.0591,
,6,1.0216,1.8688,
Feb,7,0.2228,1.3108,
,8,0.2114,1.2825,
,9,0.3108,2.0024,
,10,0.7876,1.5123,
,11,1.2588,4.7453,
,12,0.3023,1.939,
Mar,13,1.6315,3.3622,
,14,1.898,7.2904,
,15,1.7561,15.2085,
,16,1.6522,2.9165,
,17,1.629,2.8896,
,18,5.0391,3.2905,
Apr,19,2.3423,2.6988,
,20,9.9975,2.4801,
,21,10.6624,2.3881,
,22,2.6079,19.3163,
,23,10.8498,11.8545,
,24,4.3476,13.8853,
May,25,0.2744,0.0748,
,26,0.0798,0.0439,
,27,0.097,0.4909,
,28,0.1151,1.6646,
,29,0.1256,0.3484,
,30,0.1666,0.1284,
Jun,31,0.0798,0.073,
,32,0,0,
,33,0,0,
,34,0,0,
,35,0,0,
,36,0,0,
Jul,37,0.0019,0.0018,
,38,0.0057,0.0056,
,39,0.0079,0.0076,
,40,0.0076,0.0074,
,41,0.0061,0.0059,
,42,0.0668,0.0693,
Aug,43,0.1961,0.2092,
,44,0.3104,0.2618,
,45,0.2931,0.2692,
,46,0.3335,0.339,
,47,0.3456,0.3413,
,48,0.3341,0.3286,
Sep,49,0.0117,0.0117,
,50,0,0,
,51,0,0,
,52,0,0,
,53,0,0,
,54,0,0
