Month,Period,2003-2004,2004-2005
Oct,55,0.5135,1.9832
,56,0.3251,0.2789
,57,0.432,0.3425
,58,0.436,0.2478
,59,0.4284,0.468
,60,0.6644,0.5716
Nov,61,0.5997,1.7656
,62,4.0038,0.9241
,63,0.7883,0.7542
,64,0.9722,0.6069
,65,6.8469,0.5616
,66,3.2052,0.676
Dec,67,0.6826,1.7351
,68,0.3192,3.3039
,69,0.323,0.5598
,70,0.9834,0.3257
,71,0.3787,0.3535
,72,0.6828,0.7582
Jan,1,1.3526,0.9415
,2,2.495,0.9872
,3,2.2067,1.1441
,4,1.2478,1.3705
,5,1.1523,5.6037
,6,1.3154,1.4023
Feb,7,0.0144,0.0149
,8,0,0
,9,0,0.0025
,10,0.0158,0.0002
,11,0.0424,0.142
,12,0.0372,0.0297
Mar,13,1.4215,1.6407
,14,1.739,5.5715
,15,1.6659,4.2865
,16,1.6261,1.7969
,17,1.4613,1.696
,18,10.8733,2.0411
Apr,19,3.3027,2.4529
,20,3.435,2.1554
,21,5.8142,2.1417
,22,1.9766,17.7398
,23,5.1888,15.3363
,24,2.3474,12.5767
May,25,0.3419,0.4186
,26,0.2271,0.3418
,27,0.2166,0.3666
,28,0.226,3.3664
,29,0.2572,1.8728
,30,0.3761,0.8565
Jun,31,0.0286,0.1178
,32,0.0368,0.0013
,33,0.0005,0.0004
,34,0.0011,0.0017
,35,0.006,0.0087
,36,0.0348,0.0033
Jul,37,0.016,0.0247
,38,0.0349,0.0416
,39,0.0177,0.0414
,40,0.0848,0.1004
,41,0.1312,0.3743
,42,0.198,0.2355
Aug,43,0.8581,0.4451
,44,0.5409,0.5833
,45,0.5105,0.5786
,46,0.4835,0.4663
,47,0.5591,0.4435
,48,1.032,0.7147
Sep,49,0.2081,0.2484
,50,0.1759,0.1866
,51,0.2384,0.1976
,52,0.2567,0.3079
,53,0.1967,0.3272
,54,0.1642,0.2391
