Month,Period,2003-2004,2004-2005
Oct,55,0.0682,0.3032
,56,0.1052,0.1319
,57,0.1504,0.127
,58,0.1495,0.1136
,59,0.1736,0.1717
,60,0.6347,0.6239
Nov,61,0.6591,3.261
,62,7.5901,1.2599
,63,1.0427,1.1467
,64,0.7948,1.3531
,65,8.1631,0.8778
,66,1.5043,0.8714
Dec,67,0.3643,1.2668
,68,0.3208,0.7864
,69,0.5347,1.1408
,70,0.2965,0.3443
,71,0.2369,0.2625
,72,1.5517,0.2977
Jan,1,1.0844,0.2221
,2,2.7812,0.1927
,3,1.7632,0.2047
,4,0.9511,0.5082
,5,0.2316,2.0726
,6,0.288,0.3305
Feb,7,0.007,0.0028
,8,0.0359,0.0222
,9,0.0548,0.1199
,10,0.1581,0.0711
,11,0.0853,0.1931
,12,0.0002,0
Mar,13,0.7819,0.6566
,14,0.9605,2.5252
,15,0.9526,1.1245
,16,0.8551,0.8515
,17,0.7987,0.8151
,18,5.5755,0.9256
Apr,19,0.4034,1.2642
,20,0.484,1.0601
,21,0.352,1.0575
,22,0.7113,2.614
,23,1.5792,6.0305
,24,1.6686,1.9791
May,25,0.0568,0.0571
,26,0.0381,0.039
,27,0.0519,0.051
,28,0.0732,1.3922
,29,0.0931,0.2079
,30,0.1538,0.1567
Jun,31,0.0386,0.039
,32,0,0
,33,0,0
,34,0,0
,35,0,0
,36,0,0
Jul,37,0.0068,0.0076
,38,0.0152,0.0159
,39,0.0172,0.0181
,40,0.0169,0.0179
,41,0.0139,0.1669
,42,0.0228,0.0144
Aug,43,0.0143,0.0152
,44,0.0286,0.0295
,45,0.0325,0.0334
,46,0.0327,0.0335
,47,0.0278,0.0311
,48,0.0327,0.0566
Sep,49,0.0103,0.0166
,50,0.0164,0.0137
,51,0.0144,0.016
,52,0.0157,0.0175
,53,0.0166,0.0183
,54,0.0275,0.0295
