Month,Period,2003-2004,2004-2005,
Oct,28,49.2374,49.4466,
,29,45.3829,45.879,
,30,43.5227,40.6746,
Nov,31,40.418,34.7909,
,32,31.7206,33.98,
,33,28.7933,28.0047,
Dec,34,26.1583,26.5975,
,35,28.9265,25.2531,
,36,24.2644,25.9925,
Jan,1,25.2979,25.9847,
,2,25.0492,26.3262,
,3,27.9625,24.8722,
Feb,4,30.0118,28.6279,
,5,30.6644,29.5629,
,6,35.597,32.094,
Mar,7,39.4073,36.1317,
,8,38.2557,35.2779,
,9,38.9791,38.5584,
Apr,10,40.8626,42.577,
,11,43.871,44.0838,
,12,42.1321,44.3623,
May,13,50.083,45.9707,
,14,48.9283,48.3775,
,15,52.5352,52.2611,
Jun,16,55.5644,51.0109,
,17,55.8029,54.3426,
,18,56.0244,54.5503,
Jul,19,59.6271,55.6594,
,20,55.6724,55.5504,
,21,57.1292,57.1404,
Aug,22,57.7831,57.0882,
,23,58.0193,57.3744,
,24,58.0508,57.9667,
Sep,25,55.8561,54.5409,
,26,52.9241,54.3367,
,27,51.2158,52.159
