Month,Period,2003-2004,2004-2005,
Oct,28,51.3267,51.5259,
,29,48.7277,48.7046,
,30,45.6037,44.3587,
Nov,31,43.2574,41.6017,
,32,38.2367,39.7765,
,33,35.1345,34.4214,
Dec,34,31.8088,29.895,
,35,32.1264,30.1197,
,36,30.9452,28.8176,
Jan,1,31.8351,30.9193,
,2,29.8987,28.6564,
,3,32.5583,31.3525,
Feb,4,34.4841,35.8878,
,5,35.9844,34.6912,
,6,38.0889,37.5584,
Mar,7,45.003,39.4734,
,8,42.1397,39.9537,
,9,42.392,41.1339,
Apr,10,43.4824,46.3497,
,11,40.4553,46.7625,
,12,44.5128,45.9417,
May,13,50.8014,46.6885,
,14,51.6407,47.8783,
,15,53.8941,53.3368,
Jun,16,54.9285,53.7645,
,17,53.7016,54.6141,
,18,53.5993,52.2187,
Jul,19,57.5431,52.6415,
,20,55.0365,53.0081,
,21,55.9136,55.6592,
Aug,22,55.7646,55.2795,
,23,57.4171,54.343,
,24,57.1158,56.8773,
Sep,25,55.9433,54.9718,
,26,53.3599,54.3596,
,27,51.7996,52.0954
