Month,Period,2003-2004,2004-2005
Oct,28,50.5252,49.5993
,29,47.9927,46.1923
,30,45.4201,43.8216
Nov,31,43.5991,41.9963
,32,40.2762,42.0379
,33,37.1766,37.4586
Dec,34,35.5779,33.3061
,35,36.2549,34.1448
,36,36.2282,33.6613
Jan,1,36.5555,35.1227
,2,34.2407,32.3083
,3,36.867,35.5631
Feb,4,37.786,40.3715
,5,39.6166,39.955
,6,40.5143,42.9318
Mar,7,46.0451,44.9754
,8,44.8825,43.7615
,9,44.0518,45.1884
Apr,10,46.8353,49.4215
,11,45.41,46.5282
,12,47.6715,43.9252
May,13,52.1546,49.2732
,14,53.2497,48.6969
,15,54.1504,51.7563
Jun,16,53.6809,52.9736
,17,53.5168,52.5381
,18,50.5975,50.7954
Jul,19,54.5618,49.9172
,20,52.5686,51.9987
,21,51.5189,52.6513
Aug,22,50.944,52.3454
,23,53.8307,52.1893
,24,52.5823,50.7812
Sep,25,52.4511,52.8417
,26,52.8458,52.6083
,27,50.9864,52.255
