,period,ndvi,year,location,temp,rainfall
0,28,0.0825,2003,shariyah,50.5252,0.226
1,29,0.0837,2003,shariyah,47.9927,0.2572
2,30,0.0861,2003,shariyah,45.4201,0.3761
3,31,0.0894,2003,shariyah,43.5991,0.0286
4,32,0.0942,2003,shariyah,40.2762,0.0368
5,33,0.0984,2003,shariyah,37.1766,0.0005
6,34,0.1025,2003,shariyah,35.5779,0.0011
7,35,0.1039,2003,shariyah,36.2549,0.006
8,36,0.1044,2003,shariyah,36.2282,0.0348
9,1,0.1056,2003,shariyah,36.5555,1.3526
10,2,0.1045,2003,shariyah,34.2407,2.495
11,3,0.1033,2003,shariyah,36.867,2.2067
12,4,0.0992,2003,shariyah,37.786,1.2478
13,5,0.0935,2003,shariyah,39.6166,1.1523
14,6,0.0881,2003,shariyah,40.5143,1.3154
15,7,0.0858,2003,shariyah,46.0451,0.0144
16,8,0.0845,2003,shariyah,44.8825,0.0
17,9,0.0847,2003,shariyah,44.0518,0.0
18,10,0.0849,2003,shariyah,46.8353,0.0158
19,11,0.0848,2003,shariyah,45.41,0.0424
20,12,0.0838,2003,shariyah,47.6715,0.0372
21,13,0.0824,2003,shariyah,52.1546,1.4215
22,14,0.0801,2003,shariyah,53.2497,1.739
23,15,0.0787,2003,shariyah,54.1504,1.6659
24,16,0.0777,2003,shariyah,53.6809,1.6261
25,17,0.0777,2003,shariyah,53.5168,1.4613
26,18,0.078,2003,shariyah,50.5975,10.8733
27,19,0.0785,2003,shariyah,54.5618,3.3027
28,20,0.0775,2003,shariyah,52.5686,3.435
29,21,0.0767,2003,shariyah,51.5189,5.8142
30,22,0.0763,2003,shariyah,50.943999999999996,1.9766
31,23,0.0768,2003,shariyah,53.8307,5.1888
32,24,0.0779,2003,shariyah,52.5823,2.3474
33,25,0.0793,2003,shariyah,52.4511,0.3419
34,26,0.0811,2003,shariyah,52.8458,0.2271
35,27,0.083,2003,shariyah,50.9864,0.2166
36,28,0.0848,2004,shariyah,49.5993,3.3664
37,29,0.0872,2004,shariyah,46.1923,1.8728
38,30,0.0905,2004,shariyah,43.8216,0.8565
39,31,0.0934,2004,shariyah,41.9963,0.1178
40,32,0.0952,2004,shariyah,42.0379,0.0013
41,33,0.095,2004,shariyah,37.4586,0.0004
42,34,0.0955,2004,shariyah,33.3061,0.0017
43,35,0.0974,2004,shariyah,34.1448,0.0087
44,36,0.0994,2004,shariyah,33.6613,0.0033
45,1,0.1004,2004,shariyah,35.1227,0.9415
46,2,0.1007,2004,shariyah,32.3083,0.9872
47,3,0.1013,2004,shariyah,35.5631,1.1441
48,4,0.1,2004,shariyah,40.3715,1.3705
49,5,0.0981,2004,shariyah,39.955,5.6037
50,6,0.0956,2004,shariyah,42.9318,1.4023
51,7,0.0934,2004,shariyah,44.9754,0.0149
52,8,0.0906,2004,shariyah,43.7615,0.0
53,9,0.0879,2004,shariyah,45.1884,0.0025
54,10,0.0864,2004,shariyah,49.4215,0.0002
